Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
Cytology (Local Insurance)	Cytology	Fixed Price	GHS	206	Local insurance
Echocardiogram credit (Local Insurance)	Echocardiogram	Fixed Price	GHS	898	Local insurance
anti-Nuclear Antibodies (Anti-dsDNA & ANF) credit (GH Resident)	anti-Nuclear Antibodies (Anti-dsDNA & ANF)	Fixed Price	GHS	647	
D - DIMER Credit (Local Insurance)	D - DIMER	Fixed Price	GHS	395	Local insurance
Herpes Simplex Virus 1 and 2 Screen (Local Insurance)	Herpes Simplex Virus 1 and 2 Screen	Fixed Price	GHS	824	Local insurance
Clotting Time (Local Insurance)	Clotting Time	Fixed Price	GHS	134	Local insurance
Chlamydia credit (Local Insurance)	Chlamydia	Fixed Price	GHS	266	Local insurance
HB Electrophoresis credit (Non Resident)	HB Electrophoresis	Fixed Price	GHS	171	
Vitamin B12 (Local Insurance)	Vitamin B12	Fixed Price	GHS	229	Local insurance
URIC ACID (Local Insurance)	URIC ACID	Fixed Price	GHS	134	Local insurance
URINE CREATININE (Local Insurance)	URINE CREATININE	Fixed Price	GHS	134	Local insurance
Anti Mullerian Hormone (Local Insurance)	Anti Mullerian Hormone	Fixed Price	GHS	744	Local insurance
NC1-FBC with Film comment (Local Insurance)	NC1-FBC with Film comment	Fixed Price	GHS	206	Local insurance
anti-Nuclear Antibodies (Anti-dsDNA & ANF) cash (Non Resident)	anti-Nuclear Antibodies (Anti-dsDNA & ANF)	Fixed Price	GHS	732	
X-RAY CERVICAL SPINE (Local Insurance)	X-RAY CERVICAL SPINE	Fixed Price	GHS	307	Local insurance
Semen Analysis (Local Insurance)	Semen Analysis	Fixed Price	GHS	208	Local insurance
HIV Viral Load (Local Insurance)	HIV Viral Load	Fixed Price	GHS	1209	Local insurance
SERUM- B HCG (Local Insurance)	SERUM- B HCG	Fixed Price	GHS	200	Local insurance
Blood Group (ABO Rh) credit (Local Insurance)	Blood Group (ABO Rh)	Fixed Price	GHS	94	Local insurance
ELECTROLYTE (Local Insurance)	ELECTROLYTE	Fixed Price	GHS	232	Local insurance
URINE DRUG ABUSE TEST (Local Insurance)	URINE DRUG ABUSE TEST	Fixed Price	GHS	687	Local insurance
VDRL (SYPHILIS Antibody)- (Local Insurance)	VDRL (SYPHILIS Antibody)	Fixed Price	GHS	134	Local insurance
anti-Nuclear Antibodies (Anti-dsDNA & ANF) credit (Non Resident)	anti-Nuclear Antibodies (Anti-dsDNA & ANF)	Fixed Price	GHS	769	
FERRITIN credit (Local Insurance)	FERRITIN	Fixed Price	GHS	200	Local insurance
SEMEN Culture & Sensitivity (Local Insurance)	SEMEN Culture & Sensitivity	Fixed Price	GHS	303	Local insurance
RUBIN (Neonatal Jundice)-(Local Insurance)	BILIRUBIN (Neonatal Jundice)	Fixed Price	GHS	258	Local insurance
Cardiotocograph / CTG (Local Insurance)	Cardiotocograph / CTG	Fixed Price	GHS	216	Local insurance
FISTULOGRAM (Local Insurance)	FISTULOGRAM	Fixed Price	GHS	307	Local insurance
Hepatitis Be Antigen (Local Insurance)	Hepatitis Be Antigen	Fixed Price	GHS	252	Local insurance
Parathyroid Hormone (Local Insurance)	Parathyroid Hormone	Fixed Price	GHS	458	Local insurance
Calcium (Local Insurance)	Calcium	Fixed Price	GHS	133	Local insurance
GP Cons (Virtual Care) Local Insurance	VIRTUAL CARE	Fixed Price	GHS	2	Local insurance
X-RAY PELVIC (Local Insurance)	X-RAY PELVIC	Fixed Price	GHS	275	Local insurance
X-RAY ORBITS (Local Insurance)	X-RAY ORBITS	Fixed Price	GHS	307	Local insurance
Takoradi Orthopaedics - (Credit)	Orthopaedics	Fixed Price	GHS	233	
X-RAY LEFT RAD/ULNA (Local Insurance)	X-RAY LEFT RAD/ULNA	Fixed Price	GHS	307	Local insurance
Immunoglobulins (lgA, lgG, lgM) - Foreign Cash	Immunoglobulins (lgA, lgG, lgM)	Fixed Price	GHS	540	Foreign cash
TROPONIN I (Local Insurance)	TROPONIN I	Fixed Price	GHS	351	Local insurance
X-RAY LEFT CALCANEUS (Local Insurance)	X-RAY LEFT CALCANEUS	Fixed Price	GHS	307	Local insurance
X-RAY HSG (Local Insurance)	X-RAY HSG	Fixed Price	GHS	1267	Local insurance
Stool Calprotectin - Foreign Credit	Stool Calprotectin	Fixed Price	GHS	1143	Foreign credit
Troponin T (Local Insurance)	Troponin T	Fixed Price	GHS	243	Local insurance
X-RAY RIGHT CALCANEUS (Local Insurance)	X-RAY RIGHT CALCANEUS	Fixed Price	GHS	307	Local insurance
X-RAY IVU (Local Insurance)	X-RAY IVU	Fixed Price	GHS	1313	Local insurance
X-RAY LEFT ANKLE (Local Insurance)	X-RAY LEFT ANKLE	Fixed Price	GHS	307	Local insurance
MAMMOGRAM (Local Insurance)	MAMMOGRAM	Fixed Price	GHS	544	Local insurance
X-RAY LEFT CLAVICLE - Foreign Cash	X-RAY LEFT CLAVICLE	Fixed Price	GHS	348	Foreign cash
X-RAY LEFT FEMUR (Local Insurance)	X-RAY LEFT FEMUR	Fixed Price	GHS	307	Local insurance
X-RAY LEFT FOOT (Local Insurance)	X-RAY LEFT FOOT	Fixed Price	GHS	307	Local insurance
X-RAY LEFT HAND (Local Insurance)	X-RAY LEFT HAND	Fixed Price	GHS	307	Local insurance
X-RAY LEFT HUMERUS (Local Insurance)	X-RAY LEFT HUMERUS	Fixed Price	GHS	307	Local insurance
X-RAY LEFT KNEE (Local Insurance)	X-RAY LEFT KNEE	Fixed Price	GHS	307	Local insurance
X-RAY RIBS (Local Insurance)	X-RAY RIBS	Fixed Price	GHS	307	Local insurance
X-RAY LEFT ELBOW JNT (Local Insurance)	X-RAY LEFT ELBOW JNT	Fixed Price	GHS	307	Local insurance
X-RAY LEFT SHOULDER (Local Insurance)	X-RAY LEFT SHOULDER	Fixed Price	GHS	275	Local insurance
X-RAY LUMBER (FLEX/EXTN (Local Insurance)	X-RAY LUMBER (FLEX/EXTN	Fixed Price	GHS	307	Local insurance
X-RAY MANDIBLE (OBL) (Local Insurance)	X-RAY MANDIBLE (OBL)	Fixed Price	GHS	307	Local insurance
X-RAY MASTOIDS (Local Insurance)	X-RAY MASTOIDS	Fixed Price	GHS	307	Local insurance
X-RAY PNS (Local Insurance)	X-RAY PNS	Fixed Price	GHS	487	Local insurance
X-RAY LEFT WRIST JNT (Local Insurance)	X-RAY LEFT WRIST JNT	Fixed Price	GHS	307	Local insurance
X-RAY LEFT TIBIA/FIBULA (Local Insurance)	X-RAY LEFT TIBIA/FIBULA	Fixed Price	GHS	307	Local insurance
X-RAY LEFT TIBIA/FIBULA (cash)	X-RAY LEFT TIBIA/FIBULA	Fixed Price	GHS	290	
X-RAY LEFT FINGERS (Local Insurance)	X-RAY LEFT FINGERS	Fixed Price	GHS	307	Local insurance
X-RAY HIP JOINTS (Local Insurance)	X-RAY HIP JOINTS	Fixed Price	GHS	307	Local insurance
ECG - Foreign Credit	ECG	Fixed Price	GHS	279	Foreign credit
X-RAY CHEST (PA & LAT) (Local Insurance)	X-RAY CHEST (PA & LAT)	Fixed Price	GHS	275	Local insurance
BLOOD Culture & Sensitivity credit (Local Insurance)	BLOOD Culture & Sensitivity	Fixed Price	GHS	282	Local insurance
TFT credit (Local Insurance)	TFT	Fixed Price	GHS	339	Local insurance
SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard credit (Non Resident)	SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard	Fixed Price	GHS	371	
HIV 1&2 SCREEN credit (Local Insurance)	HIV 1&2 SCREEN	Fixed Price	GHS	211	Local insurance
Random Blood GLUCOSE credit (Local Insurance)	Random Blood GLUCOSE	Fixed Price	GHS	105	Local insurance
X-RAY SCOLIOSIS SERIES (Local Insurance)	X-RAY SCOLIOSIS SERIES	Fixed Price	GHS	989	Local insurance
Takoradi Dermatologist Cons - (Follow Up))	Dermatology	Fixed Price	GHS	77	
X-RAY RIGHT WRIST JNT (Local Insurance)	X-RAY RIGHT WRIST JNT	Fixed Price	GHS	307	Local insurance
X-RAY LUMBER SPINE (Local Insurance)	X-RAY LUMBER SPINE	Fixed Price	GHS	307	Local insurance
Reticulocyte Count credit (Local Insurance)	Reticulocyte Count	Fixed Price	GHS	160	Local insurance
Reticulocyte Count credit (Non Resident)	Reticulocyte Count	Fixed Price	GHS	190	
Reticulocyte Count credit (GH Resident)	Reticulocyte Count	Fixed Price	GHS	160	
X-RAY STERNUM (Local Insurance)	X-RAY STERNUM	Fixed Price	GHS	307	Local insurance
ENT Cons - (Local Insurance)	ENT	Fixed Price	GHS	477	Local insurance
Hepatitis C Virus Antibody Screen credit (Local Insurance)	Hepatitis C Virus Antibody Screen	Fixed Price	GHS	121	Local insurance
X-RAY RIGHT CLAVICLE (Local Insurance)	X-RAY RIGHT CLAVICLE	Fixed Price	GHS	307	Local insurance
PSA Prostate Specific Antigen credit (Local Insurance)	PSA Prostate Specific Antigen	Fixed Price	GHS	348	Local insurance
X-RAY RIGHT ELBOW JNT (Local Insurance)	X-RAY RIGHT ELBOW JNT	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT FEMUR (Local Insurance)	X-RAY RIGHT FEMUR	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT FINGERS (Local Insurance)	X-RAY RIGHT FINGERS	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT FOOT (Local Insurance)	X-RAY RIGHT FOOT	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT HAND (Local Insurance)	X-RAY RIGHT HAND	Fixed Price	GHS	307	Local insurance
Hepatitis Bs Antigen credit (Local Insurance)	Hepatitis Bs Antigen	Fixed Price	GHS	222	Local insurance
X-RAY RIGHT TIB/FIB (Local Insurance)	X-RAY RIGHT TIB/FIB	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT HUMERUS (Local Insurance)	X-RAY RIGHT HUMERUS	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT TIB/FIB - Foreign Cash	X-RAY RIGHT TIB/FIB	Fixed Price	GHS	348	Foreign cash
X-RAY SINUSES (Local Insurance)	X-RAY SINUSES	Fixed Price	GHS	275	Local insurance
X-RAY SKULL (Local Insurance)	X-RAY SKULL	Fixed Price	GHS	307	Local insurance
Prothrombin Time(International Normalised Ratio) credit (Local Insurance)	Prothrombin Time(International Normalised Ratio)	Fixed Price	GHS	205	Local insurance
X-RAY RIGHT RAD/ULNA (Local Insurance)	X-RAY RIGHT RAD/ULNA	Fixed Price	GHS	307	Local insurance
X-RAY RIGHT TIB/FIB - Foreign Credit	X-RAY RIGHT TIB/FIB	Fixed Price	GHS	369	Foreign credit
X-RAY RIGHT SHOULDER - Foreign Cash	X-RAY RIGHT SHOULDER	Fixed Price	GHS	311	Foreign cash
X-RAY RIGHT ANKLE (Local Insurance)	X-RAY RIGHT ANKLE	Fixed Price	GHS	307	Local insurance
X-RAY SACROLLIAC JOINT (Local Insurance)	X-RAY SACROLLIAC JOINT	Fixed Price	GHS	307	Local insurance
Reticulocyte Count cash (Non Resident)	Reticulocyte Count	Fixed Price	GHS	181	
Luteinizing Hormone (LH), Serum (credit) Local Insurance	Luteinizing Hormone (LH), Serum	Fixed Price	GHS	187	Local insurance
X-RAY THORACIC INLET (Local Insurance)	X-RAY THORACIC INLET	Fixed Price	GHS	307	Local insurance
CT- FOOT (Local Insurance)	CT- FOOT	Fixed Price	GHS	1499	Local insurance
Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms (credit) Local Insurance	Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms	Fixed Price	GHS	714	Local insurance
CT-KNEE (Local Insurance)	CT-KNEE	Fixed Price	GHS	1201	Local insurance
CT-LUMBAR SPINE (Local Insurance)	CT-LUMBAR SPINE	Fixed Price	GHS	1499	Local insurance
Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms - Foreign Cash	Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms	Fixed Price	GHS	809	Foreign cash
CT-LEG (Local Insurance)	CT-LEG	Fixed Price	GHS	1201	Local insurance
Prostate-Specific Antigen (PSA), Total and Free, Serum (credit) (Local Insurance)	Prostate-Specific Antigen (PSA), Total and Free, Serum	Fixed Price	GHS	280	Local insurance
Orthopaedics Follow Up credit (GH Resident)	Orthopaedics	Fixed Price	GHS	295	
CT- SCAN REPORTING ONLY (Local Insurance)	CT- SCAN REPORTING ONLY	Fixed Price	GHS	199	Local insurance
X-RAY THORACIC SPINE (Local Insurance)	X-RAY THORACIC SPINE	Fixed Price	GHS	307	Local insurance
CT-BRAIN (RTA) (Local Insurance)	CT-BRAIN (RTA)	Fixed Price	GHS	806	Local insurance
CT-BRAIN (BLEED) (Local Insurance))	CT-BRAIN (BLEED)	Fixed Price	GHS	912	Local insurance
Rh-Factor credit (Local Insurance)	Rh-Factor	Fixed Price	GHS	158	Local insurance
CT-BRAIN CVA - Foreign Cash	CT-BRAIN CVA	Fixed Price	GHS	714	Foreign cash
CT-BRAIN (ANGIO ) (Local Insurance)	CT-BRAIN (ANGIO )	Fixed Price	GHS	2398	Local insurance
Smear morphology panel - Blood (Local Insurance)	Smear morphology panel - Blood	Fixed Price	GHS	175	Local insurance
CT-BRAIN CVA (Local Insurance)	CT-BRAIN CVA	Fixed Price	GHS	631	Local insurance
X-RAY TIB & FIB (CHILDREN) (Local Insurance)	X-RAY TIB & FIB (CHILDREN)	Fixed Price	GHS	307	Local insurance
X-RAY URETHROGRAM (Local Insurance)	X-RAY URETHROGRAM	Fixed Price	GHS	1313	Local insurance
RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT - (Local Insurance)	RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT	Fixed Price	GHS	2678.83	Local insurance
CT- THORACIC SPINE (Local Insurance)	CT- THORACIC SPINE	Fixed Price	GHS	1499	Local insurance
CT-EXTREMITIES (Local Insurance)	CT-EXTREMITIES	Fixed Price	GHS	1201	Local insurance
CT-FEMUR (Local Insurance)	CT-FEMUR	Fixed Price	GHS	1201	Local insurance
CT-FOREARM (Local Insurance)	CT-FOREARM	Fixed Price	GHS	1201	Local insurance
Urine Pregnosticon Test (Local Insurance)	Urine Pregnosticon Test	Fixed Price	GHS	133	Local insurance
Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay Credit (Local Insurance)	Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay	Fixed Price	GHS	275	Local insurance
CT-ABDO/PELVIC (PLAIN) (Local Insurance)	CT-ABDO/PELVIC (PLAIN)	Fixed Price	GHS	1535	Local insurance
Follicle-Stimulating Hormone (FSH), Serum (credit) Local Insurance	Follicle-Stimulating Hormone (FSH), Serum	Fixed Price	GHS	187	Local insurance
Follicle-Stimulating Hormone (FSH), Serum (cash)	Follicle-Stimulating Hormone (FSH), Serum	Fixed Price	GHS	176	
US- UMBILICAL CORD DOPPLER (M&C) (credit)	US- UMBILICAL CORD DOPPLER (M&C)	Fixed Price	GHS	0	
US- UMBILICAL CORD DOPPLER (M&C) (Local Insurance)	US- UMBILICAL CORD DOPPLER (M&C)	Fixed Price	GHS	0	Local insurance
US- SCAN OF EYE (Local Insurance)	US- SCAN OF EYE	Fixed Price	GHS	408	Local insurance
US- DOPLER VENOUS LEFT LEG (Local Insurance)	US- DOPLER VENOUS LEFT LEG	Fixed Price	GHS	527	Local insurance
Erythrocyte Sedimentation Rate - Local Insurance	Erythrocyte Sedimentation Rate	Fixed Price	GHS	103	Local insurance
US- SCROTAL DOPPLER (Local Insurance)	US- SCROTAL DOPPLER	Fixed Price	GHS	587	Local insurance
US- ABDOMEN & PELVIC SCAN (credit) Local Insurance	US- ABDOMEN & PELVIC SCAN	Fixed Price	GHS	453	Local insurance
ULTRASOUND GUIDED DRAINAGE (Local Insurance)	ULTRASOUND GUIDED DRAINAGE	Fixed Price	GHS	2260	Local insurance
Helicobacter pylori Antigen, Feces (credit) Local Insurance	Helicobacter pylori Antigen, Feces	Fixed Price	GHS	247	Local insurance
Obs & Gynae Follow up Deposit Account(Premier Insurance)	Obs & Gynae	Fixed Price	GHS	278	
Takoradi Audiologist Cons - (Cash) (Non Resident)	Audiology	Fixed Price	GHS	264	
Obs & Gynae credit Follow up (GH Resident)	Obs & Gynae	Fixed Price	GHS	295	
US- DOPLER VENOUS RIGHT LEG (Local Insurance)	US- DOPLER VENOUS RIGHT LEG	Fixed Price	GHS	527	Local insurance
US- OBSTETRICS SCAN / PELVICS (Local Insurance)	US- OBSTETRICS SCAN / PELVICS	Fixed Price	GHS	453	Local insurance
Rubella virus IgG and IgM panel - Serum (credit) Local Insurance	Rubella virus IgG and IgM panel - Serum	Fixed Price	GHS	801	Local insurance
Hemoglobin pattern [Interpretation] in Blood by Electrophoresis (credit) Local Insurance	Hemoglobin pattern [Interpretation] in Blood by Electrophoresis	Fixed Price	GHS	206	Local insurance
US- GOITRE (THYROID) (Local Insurance)	US- GOITRE (THYROID)	Fixed Price	GHS	408	Local insurance
Obs & Gynae cash Follow up (GH Resident)	Obs & Gynae	Fixed Price	GHS	278	
Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms (credit) Local Insurance	Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms	Fixed Price	GHS	714	Local insurance
US - UMBILICAL CORD DOPPLER - Local Insurance	US- (UMBILICAL CORD DOPPLER)	Fixed Price	GHS	457	Local insurance
Sickling Test - Foreign Credit	Sickling Test	Fixed Price	GHS	75	Foreign credit
Prolactin, Serum (credit) Local Insurance	Prolactin, Serum	Fixed Price	GHS	187	Local insurance
Sickle cell screen test status CPHS (credit) Local Insurance	Sickle cell screen test status CPHS	Fixed Price	GHS	48	Local insurance
Rubella Antibodies, IgG, Serum (credit) Local Insurance	Rubella Antibodies, IgG, Serum	Fixed Price	GHS	343	Local insurance
Malaria RDT (cash)	Malaria RDT	Fixed Price	GHS	89	
Er Ultrasound (Local Insurance)	Er Ultrasound	Fixed Price	GHS	1039	Local insurance
CT-UPPER ARM (Local Insurance)	CT-UPPER ARM	Fixed Price	GHS	1201	Local insurance
Takoradi ENT Cons - (Credit) (Non Resident)	ENT	Fixed Price	GHS	280	
CT-TRIPLE PHASE LIVER (Local Insurance)	CT-TRIPLE PHASE LIVER	Fixed Price	GHS	2398	Local insurance
US- TRANSFONTANELLE USG (Local Insurance)	US- TRANSFONTANELLE USG	Fixed Price	GHS	293	Local insurance
US- CHEST (Local Insurance)	US- CHEST	Fixed Price	GHS	293	Local insurance
CT-UPPER ABDOMEN (WITH CONT) (Local Insurance)	CT-UPPER ABDOMEN (WITH CONT)	Fixed Price	GHS	1499	Local insurance
Stool test (Local Insurance)	Stool test	Fixed Price	GHS	104	Local insurance
Renal Function Panel, Serum (Local Insurance)	Renal Function Panel, Serum	Fixed Price	GHS	241	Local insurance
US-DOPLER ARTERIAL LEFT LEG (Local Insurance)	US-DOPLER ARTERIAL LEFT LEG	Fixed Price	GHS	527	Local insurance
T4 (Thyroxine), Free, Serum (credit) Local Insurance	T4 (Thyroxine), Free, Serum	Fixed Price	GHS	207	Local insurance
Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain (credit) Local Insurance	Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain	Fixed Price	GHS	57	Local insurance
T3 (Triiodothyronine), Free, Serum (Local Insurance)	T3 (Triiodothyronine), Free, Serum	Fixed Price	GHS	207	Local insurance
Orthopaedics Cons credit (GH Resident)	Orthopaedics	Fixed Price	GHS	477	
ECG (credit) Local Insurance	ECG	Fixed Price	GHS	232	Local insurance
Takoradi Cardiologist Cons - (Cash) (Non Resident)	Cardiology	Fixed Price	GHS	264	
C reactive protein [Mass/volume] in Blood by High sensitivity method (credit) Local Insurance	C reactive protein [Mass/volume] in Blood by High sensitivity method	Fixed Price	GHS	107	Local insurance
Urine Culture and Sensitivity / CS (CREDIT) Local Insurance	Urine Culture and Sensitivity / CS	Fixed Price	GHS	303	Local insurance
Obs & Gynae - (Local Insurance)	Obs & Gynae	Fixed Price	GHS	477	Local insurance
Obs & Gynae Deposit Account ( Premier Insurance )	Obs & Gynae	Fixed Price	GHS	450	
Orthopaedics Cons Deposit account	Orthopaedics	Fixed Price	GHS	450	
Hemoglobin A1c, Blood (credit) Local Insurance	Hemoglobin A1c, Blood	Fixed Price	GHS	316	Local insurance
US-DOPLER ARTERIAL RIGHT LEG (Local Insurance)	US-DOPLER ARTERIAL RIGHT LEG	Fixed Price	GHS	527	Local insurance
Progesterone, Serum (Local Insurance)	Progesterone, Serum	Fixed Price	GHS	224	Local insurance
STOOL Culture & Sensitivity (CREDIT) Local Insurance	STOOL Culture & Sensitivity	Fixed Price	GHS	261	Local insurance
US- small parts (Local Insurance)	US- small parts	Fixed Price	GHS	408	Local insurance
Hemoglobin A1c, Blood (Local Insurance)	Hemoglobin A1c, Blood	Fixed Price	GHS	316	Local insurance
Takoradi Cardiologist Cons - (Credit) (Non Resident)	Cardiology	Fixed Price	GHS	280	
Us-scan Pelvic (credit) Local Insurance	Us-scan Pelvic	Fixed Price	GHS	293	Local insurance
TSH-Ab - Credit Local Insurance	TSH-Ab	Fixed Price	GHS	687	Local insurance
ABO group [Type] in Blood (credit) Local Insurance	ABO group [Type] in Blood	Fixed Price	GHS	88	Local insurance
US-ABDOMINAL SCAN (Local Insurance)	US-ABDOMINAL SCAN	Fixed Price	GHS	293	Local insurance
EEG (credit) Local Insurance	EEG	Fixed Price	GHS	1057	Local insurance
Lipid Panel, Fasting, Serum (credit) Local Insurance	Lipid Panel, Fasting, Serum	Fixed Price	GHS	273	Local insurance
Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay (credit) Local Insurance	Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay	Fixed Price	GHS	197	Local insurance
General Surgeon Deposit Follow-up (Non Resident)(Phoenix Insurance)	General Surgery	Fixed Price	GHS	298	
General Surgeon Deposit (Non Resident) (Premier Insurance )	General Surgery	Fixed Price	GHS	485	
Physiotherapist Cons cash (Non Resident)	Physiotherapy	Fixed Price	GHS	540	
ENT Follow Up Credit (Non Resident)	ENT	Fixed Price	GHS	385	
Takoradi Psychiatrist Cons - (Cash) (Non Resident)	Psychiatry	Fixed Price	GHS	264	
Physiotherapist Cons (NON Resident)	Physiotherapy	Fixed Price	GHS	554	
Paediatrics Follow-up credit (Local Insurance)	Paediatrics	Fixed Price	GHS	261	Local insurance
ENT Cons Cash account (GH Resident)	ENT	Fixed Price	GHS	450	
Orthopaedics Cons cash (GH Resident)	Orthopaedics	Fixed Price	GHS	450	
General Surgeon Deposit General Surgeon Deposit Follow-up (Non Resident) (Premier Insurance)	General Surgery	Fixed Price	GHS	298	
Psychiatrist Cons Follow Up - (Local Insurance)	Psychiatry	Fixed Price	GHS	295	Local insurance
Estradiol, Serum (Local Insurance)	Estradiol, Serum	Fixed Price	GHS	152	Local insurance
Takoradi Neurosurgeon Cons - (Credit) (Non Resident)	Neurosurgery	Fixed Price	GHS	280	
General Surgeon Deposit Follow-up (Resident) (Phoenix Insurance)	General Surgery	Fixed Price	GHS	278	
Takoradi Physician Specialist - (Credit) (Non Resident)	Physician Specilaist	Fixed Price	GHS	280	
GP Follow up Deposit Account (Day 2-7) (Premier Insurance)	GP Consultation	Fixed Price	GHS	106	
Takoradi Neurosurgeon Cons - (Cash) (Non Resident)	Neurosurgery	Fixed Price	GHS	264	
Takoradi Cardiologist Cons - (Credit)	Cardiology	Fixed Price	GHS	233	
Takoradi Dietitian Cons - (Credit)	Dietitian	Fixed Price	GHS	233	
General Surgeon Deposit (Resident) (Phoenix Insurance )	General Surgery	Fixed Price	GHS	450	
Us-Doppler Colour / Vascular Ultrasound One Side Local Insurance	Us-Doppler Colour / Vascular Ultrasound One Side	Fixed Price	GHS	587	Local insurance
General Surgeon Deposit (Non Resident) (Phoenix Insurance)	General Surgery	Fixed Price	GHS	485	
General Surgeon Deposit Follow-up (Resident) (Premier Insurance )	General Surgery	Fixed Price	GHS	278	
Physiotherapist Cons credit (GH Resident)	Physiotherapy	Fixed Price	GHS	477	
RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT - Cash (GH Resident)	RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT	Fixed Price	GHS	2527.2	
FP Follow Up credit (Day 2-7) GH Resident	Family Physician	Fixed Price	GHS	206	
Psychiatrist Cons (Deposit account)	Psychiatry	Fixed Price	GHS	450	
Audiologist Cons - (Local Insurance)	Audiology	Fixed Price	GHS	477	Local insurance
Takoradi Registration	Registration	Fixed Price	GHS	61	
General Surgeon Cons - (Local Insurance)	General Surgery	Fixed Price	GHS	477	Local insurance
Takoradi Cardiologist Cons - (Cash)	Cardiology	Fixed Price	GHS	220	
Psychiatrist Follow up(Deposit account) (Phoenix Insurance)	Psychiatry	Fixed Price	GHS	278	
Takoradi Psychiatrist Cons - (Follow Up)	Psychiatry	Fixed Price	GHS	77	
General Surgeon Deposit (Resident) (Premier Insurance )	General Surgery	Fixed Price	GHS	450	
Plastic Surgeon Follow Up cash (Non Resident)	Plastic Surgery	Fixed Price	GHS	334	
Takoradi Cardiologist Cons - (Follow Up)	Cardiology	Fixed Price	GHS	77	
ENT Follow up Deposit account (Phoenix Insurance)	ENT	Fixed Price	GHS	278	
Obs & Gynae cons Deposit Account	Obs & Gynae	Fixed Price	GHS	450	
Physician Specialist - (Local Insurance)	Physician Specilaist	Fixed Price	GHS	477	Local insurance
Ophtalmologist Cons WAPCO	Ophtalmology	Fixed Price	GHS	0	
Takoradi Ophtalmology Cons - (Cash)	Ophtalmology	Fixed Price	GHS	220	
Neurosurgeon Deposit Follow-up (Non Resident)	Neurosurgery	Fixed Price	GHS	334	
Neurosurgeon Follow Up cash (Non Resident)	Neurosurgery	Fixed Price	GHS	334	
CT-LUMBAR SPINE - Foreign Cash	CT-LUMBAR SPINE	Fixed Price	GHS	1697	Foreign cash
Takoradi Physician Specialist Follow-Up	Physician Specilaist	Fixed Price	GHS	77	
Psychiatrist Cons - (Local Insurance)	Psychiatry	Fixed Price	GHS	477	Local insurance
Immunoglobulins (lgA, lgG, lgM) - Foreign Credit	Immunoglobulins (lgA, lgG, lgM)	Fixed Price	GHS	572	Foreign credit
Dermatologist Follow Up Cash (GH Resident)	Dermatology	Fixed Price	GHS	278	
Takoradi Dermatologist Cons - (Cash)	Dermatology	Fixed Price	GHS	220	
Haematologist Follow Up credit (Non Resident)	Haematology	Fixed Price	GHS	385	
Takoradi Haematologist Cons - (Cash)	Haematology	Fixed Price	GHS	220	
Psychiatrist Follow up (Deposit account)	Psychiatry	Fixed Price	GHS	278	
Takoradi Obs & Gynae - (Cash)	Obs & Gynae	Fixed Price	GHS	220	
Toxoplasma IgM (Local Insurance)	Toxoplasma IgM	Fixed Price	GHS	458	Local insurance
Psychiatrist Follow up(Deposit account) (Premier Insurance )	Psychiatry	Fixed Price	GHS	278	
Takoradi GP Consultation (Cash)	GP Consultation	Fixed Price	GHS	127	
Haematologist Cons (Deposit account) (Premier Insurance )	Haematology	Fixed Price	GHS	450	
Takoradi Obs & Gynae - (Follow-Up)	Obs & Gynae	Fixed Price	GHS	77	
Dietitian Follow Up Deposit account (Premier Insurance )	Dietitian	Fixed Price	GHS	278	
Lupus Anticoagulants - (Local Insurance)	Lupus Anticoagulants	Fixed Price	GHS	931	Local insurance
Takoradi Renal Clinic Cons - (Credit)	Renal Clinic	Fixed Price	GHS	233	
